0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SET,Loop,5,,,,,
0,:RndAttack,,,,,,,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.2,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,JMPZ,End,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,5,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPABS,Attack0,,,,,,
0,JMPABS,Attack1,,,,,,
0,JMPABS,Attack2,,,,,,
0,JMPABS,Attack3,,,,,,
0,JMPABS,Attack4,,,,,,
0,:Attack0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,BoneVRepeat,128,341,45,0,480,4,16
0,BoneV,64,286,100,0,480,,
0,BoneVRepeat,512,341,45,2,480,4,16
0,BoneV,576,286,100,2,480,,
0.45,JMPABS,RndAttack,,,,,,
0,:Attack1,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,BoneV,128,286,100,0,480,1,
0,BoneV,56,366,20,0,480,0,
0,BoneV,24,286,100,0,480,0,
0,BoneV,512,286,100,2,480,1,
0,BoneV,584,366,20,2,480,0,
0,BoneV,616,286,100,2,480,0,
0.55,JMPABS,RndAttack,,,,,,
0,:Attack2,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,SET,Total,0,,,,,
0,SET,Loop2,0,,,,,
0,:Attack2Begin,,,,,,,
0,RND,Choice,3,,,,,
0,ADD,HeightB,$Choice,2,,,,
0,MUL,HeightB,$HeightB,10,,,,
0,SET,RndSpeed,0,,,,,
0,JMPZ,SkipRndSpeed,$Loop2,,,,,
0,RND,RndSpeed,3,,,,,
0,SUB,RndSpeed,$RndSpeed,1,,,,
0,MUL,RndSpeed,$RndSpeed,2,,,,
0,:SkipRndSpeed,,,,,,,
0,SUB,HeightT,86,$HeightB,,,,
0,SUB,YB,386,$HeightB,,,,
0,MUL,X,$Loop2,22,,,,
0,ADD,X,$X,25,,,,
0,ADD,X,$X,$Total,,,,
0,ADD,SpeedL,12,$RndSpeed,,,,
0,MUL,XL,$X,$SpeedL,,,,
0,SUB,XL,320,$XL,,,,
0,MUL,SpeedL,$SpeedL,60,,,,
0,MUL,RndSpeed,$RndSpeed,-2,,,,
0,ADD,SpeedR,12,$RndSpeed,,,,
0,MUL,XR,$X,$SpeedR,,,,
0,ADD,XR,320,$XR,,,,
0,MUL,SpeedR,$SpeedR,60,,,,
0,BoneV,$XL,282,$HeightT,0,$SpeedL,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,
0,BoneV,$XR,282,$HeightT,2,$SpeedR,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,
0,MUL,TotalInc,$Choice,5,,,,
0,ADD,Total,$Total,$TotalInc,,,,
0,ADD,Loop2,$Loop2,1,,,,
0,JMPL,Attack2Begin,$Loop2,4,,,,
0.85,JMPABS,RndAttack,,,,,,
0,:Attack3,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,BoneVRepeat,200,282,70,0,300,3,125
0,BoneVRepeat,200,371,15,0,300,3,125
0,BoneVRepeat,440,282,70,2,300,3,125
0,BoneVRepeat,440,371,15,2,300,3,125
0.85,JMPABS,RndAttack,,,,,,
0,:Attack4,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,RND,Side,2,,,,,
0,JMPZ,Attack4Other,$Side,,,,,
0,HeartTeleport,506,376,,,,,
0,BoneVRepeat,200,331,55,0,720,11,24
0,BoneVRepeat,-64,371,15,0,720,10,24
0.75,JMPABS,RndAttack,,,,,,
0,:Attack4Other,,,,,,,
0,HeartTeleport,149,376,,,,,
0,BoneVRepeat,440,331,55,2,720,11,24
0,BoneVRepeat,704,371,15,2,720,10,24
0.75,JMPABS,RndAttack,,,,,,
0,:End,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,
0,EndAttack,,,,,,,
