0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,640,346,51,2,300,,
0.2,BoneVRepeat,508,356,40,2,240,58,15
0.2,Platform,640,296,51,2,300,,
0.25,Platform,640,346,51,2,300,,
0.2,BoneV,508,316,70,2,300,,
0.2,Platform,640,296,31,2,120,,
0.3,Platform,640,326,51,2,300,,
0.35,Platform,640,336,51,2,300,,
0.15,BoneV,508,257,45,2,300,,
0.2,Platform,640,316,51,2,300,,
0.15,BoneV,508,257,55,2,300,,
0.35,BoneV,508,257,35,2,300,,
0.75,BoneV,133,257,95,0,180,,
0.35,BoneV,508,276,110,2,480,,
1.25,EndAttack,,,,,,,
